,Zip Code,City,State,Counties,Multi County,City Alias(es),Area Code,City Type,Classification,Time Zone,Observes Daylight Saving,Latitude ,Longitude,Elevation (ft),State FIPS,County FIPS,Region,Division,Intro Date,Current Population,2010 Population,Households Per ZIP code,Average House Value ($),Average Income Per Household  ($),Persons Per Household,White Population,Black Population,Hispanic Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Male Population,Female Population,Median Age (years),Male Median Age (years),Female Median Age (years),# Residential Mailboxes,# Business Mailboxes,Total Delivery Receptacles,Number of Businesses,1st Quarter Payroll ($),Annual Payroll ($),# of Employees,Water Area (sq mi),Land Area (sq mi),113th Congressional District,113th Congressional Land Area (sq mi),Single Family Delivery Units,Multi Family Delivery Units,# Residential Mailboxes.1,# Business Mailboxes.1,Total Delivery Receptacles.1,Total Beneficiaries (2019),Retired Workers (2019),Disabled Workers (2019),Widow(er)s and Parents (2019),Spouses (2019),Children (2019),65+ (2019),Monthly Benefits - All (2019) ($),Monthly Benefits - Retired Workers (2019) ($),Monthy Benefits - Widow(ers) (2019) ($),CBSA,CBSA Name,CBSA Type,CBSA Division,CBSA Division Name,CBSA Population,CBSA Division Population,MSA,MSA Name,PMSA,PMSA Name,City State Key,Preferred Last Line Key
0,75201,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 945",P [Post Office],Non-Unique,GMT,Yes,32.787706,-96.79985,455,48,113,South,West South Central,< 2004 - 2010," 18,460 "," 9,409 "," 5,821 "," 630,100 "," 94,872 ",1.48," 7,102 "," 1,627 "," 1,043 ", 445 , 110 ,16, 328 ," 5,070 "," 4,339 ",31.1,32.9,29.3," 12,473 "," 2,153 "," 22,166 "," 2,455 "," 2,807,113,000 "," 9,499,687,000 "," 80,663 ",0.0,1.376,30|32,356.21|185.66 , 53 ," 11,953 "," 12,473 "," 2,153 "," 22,166 "," 1,100 ", 745 , 200 ,50,55,50,775,1862000,1443000,91000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
1,75202,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 946",P [Post Office],Non-Unique,GMT,Yes,32.77991,-96.802744,427,48,113,South,West South Central,< 2004 - 2010," 2,931 "," 1,666 "," 1,150 "," 269,200 "," 92,500 ",1.43," 1,293 ", 278 , 255 , 64 , 31 ,4, 55 , 927 , 739 ,31.4,32.7,29.9," 2,050 ", 658 ," 3,102 ", 585 ," 898,952,000 "," 2,318,569,000 "," 19,160 ",0.0,0.668,30,356.27, 2 ," 2,048 "," 2,050 ", 658 ," 3,102 ", 145 , 100 , 20 ,5,5,15,110,254000,197000,9000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
2,75203,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.744837,-96.795597,423,48,113,South,West South Central,< 2004 - 2010," 18,211 "," 15,721 "," 5,487 "," 108,600 "," 37,418 ",2.85," 4,934 "," 5,586 "," 9,359 ", 76 , 236 ,40," 5,344 "," 8,186 "," 7,535 ",29.7,29.7,29.7," 6,390 ", 545 ," 6,909 ", 245 ," 86,403,000 "," 378,405,000 "," 6,406 ",0.025,4.789,30|33,356.27|211.94," 3,185 "," 2,925 "," 6,390 ", 545 ," 6,909 "," 1,855 "," 1,120 ", 405 ,125,50,155,1180,1886000,1203000,138000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
3,75204,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469, 945",P [Post Office],Non-Unique,GMT,Yes,32.801944,-96.787577,496,48,113,South,West South Central,< 2004 - 2010," 45,140 "," 26,279 "," 14,547 "," 378,600 "," 81,914 ",1.76," 17,791 "," 3,775 "," 7,292 "," 1,745 ", 323 ,44," 3,358 "," 13,656 "," 12,623 ",29.9,31.0,28.8," 25,648 "," 1,232 "," 27,049 "," 1,383 "," 528,353,000 "," 1,917,640,000 "," 25,741 ",0.0,2.559,30|32,356.27|185.66," 1,776 "," 21,655 "," 25,648 "," 1,232 "," 27,049 "," 1,760 "," 1,185 ", 305 ,85,75,110,"1,255",2503000,"1,915,000","107,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
4,75205,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469",P [Post Office],Non-Unique,GMT,Yes,32.833389,-96.793911,532,48,113,South,West South Central,< 2004 - 2010," 26,531 "," 23,061 "," 9,016 "," 1,212,700 "," 159,076 ",2.29," 21,497 ", 384 ," 1,385 ", 937 , 163 ,14, 444 ," 10,981 "," 12,080 ",33.0,33.1,32.9," 11,586 ", 865 ," 14,584 "," 1,101 "," 171,241,000 "," 643,296,000 "," 11,207 ",0.003,4.37,32,185.66," 6,169 "," 5,143 "," 11,586 ", 865 ," 14,584 "," 2,645 "," 1,930 ", 80 ,180,350,105,"2,405","5,221,000","4,182,000","370,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
5,75206,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.833452,-96.771706,589,48,113,South,West South Central,< 2004 - 2010," 47,359 "," 36,248 "," 20,176 "," 433,100 "," 75,569 ",1.8," 27,808 "," 2,432 "," 10,253 "," 2,203 ", 487 ,48," 4,231 "," 18,952 "," 17,296 ",30.9,31.9,30.5," 26,311 "," 1,818 "," 28,301 "," 1,696 "," 525,800,000 "," 1,974,995,000 "," 27,979 ",0.017,4.235,32,185.66," 6,721 "," 18,009 "," 26,311 "," 1,818 "," 28,301 "," 2,840 "," 2,125 ", 290 ,205,140,80,"2,365","4,370,000","3,472,000","326,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
6,75207,Dallas,Texas,"Dallas, TX",No,Dallas,"469, 972, 214, 945",P [Post Office],Non-Unique,GMT,Yes,32.781467,-96.821474,400,48,113,South,West South Central,< 2004 - 2010," 2,449 "," 9,648 ", 585 , -   ," 85,075 ",1.44," 4,991 "," 4,527 "," 1,740 ", 68 , 13 ,1, 77 ," 7,334 "," 2,314 ",32.3,31.9,33.4," 1,701 "," 1,955 "," 5,068 "," 1,058 "," 305,977,000 "," 1,229,495,000 "," 20,125 ",0.041,3.859,30,356.27, 32 ," 1,669 "," 1,701 "," 1,955 "," 5,068 ", 120 , 90 , 15 ,5,5,5,100,"223,000","176,000","14,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
7,75208,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.751471,-96.838668,533,48,113,South,West South Central,< 2004 - 2010," 43,011 "," 30,171 "," 9,807 "," 325,800 "," 66,230 ",3.05," 20,680 "," 1,422 "," 21,931 ", 262 , 485 ,26," 8,260 "," 15,925 "," 14,246 ",32.8,32.9,32.7," 14,102 "," 1,329 "," 15,831 ", 868 ," 95,537,000 "," 403,921,000 "," 9,559 ",0.005,6.119,30|33,356.27|211.94," 8,399 "," 4,868 "," 14,102 "," 1,329 "," 15,831 "," 3,825 "," 2,695 ", 430 ,225,240,235,"2,965","4,674,000","3,553,000","264,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
8,75209,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.844254,-96.833186,500,48,113,South,West South Central,< 2004 - 2010," 16,249 "," 13,653 "," 6,282 "," 576,300 "," 99,003 ",2.16," 9,825 "," 2,394 "," 2,615 ", 378 , 101 ,16," 1,222 "," 6,697 "," 6,956 ",39.5,39.3,39.8," 7,523 ", 505 ," 8,923 ", 611 ," 113,243,000 "," 446,766,000 "," 8,433 ",0.003,3.5,24|30|32,262.76|356.21|185.66," 5,135 "," 2,107 "," 7,523 ", 505 ," 8,923 "," 2,180 "," 1,685 ", 145 ,145,140,65,"1,895","3,750,000","3,085,000","247,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
9,75210,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.764515,-96.736787,412,48,113,South,West South Central,< 2004 - 2010," 9,249 "," 7,482 "," 2,680 "," 69,200 "," 26,801 ",2.78, 874 ," 5,382 "," 2,060 ", 20 , 58 ,7," 1,274 "," 3,660 "," 3,822 ",31.9,31.3,32.6," 3,327 ", 274 ," 3,878 ", 85 ," 7,578,000 "," 28,987,000 ", 905 ,0.143,2.285,30,356.27," 2,044 "," 1,047 "," 3,327 ", 274 ," 3,878 "," 1,160 ", 635 , 295 ,85,10,135,655,"1,047,000","631,000","75,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
10,75211,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.736514,-96.905719,535,48,113,South,West South Central,< 2004 - 2010," 79,173 "," 73,146 "," 19,992 "," 122,100 "," 46,226 ",3.59," 44,630 "," 5,263 "," 60,742 ", 832 , 946 ,64," 23,666 "," 36,755 "," 36,391 ",27.1,26.9,27.3," 22,054 "," 1,025 "," 23,785 ", 635 ," 198,913,000 "," 749,435,000 "," 19,141 ",0.962,17.188,30|33,356.27|211.94," 13,348 "," 4,862 "," 22,054 "," 1,025 "," 23,785 "," 7,930 "," 5,135 "," 1,205 ",530,455,605,"5,645","8,733,000","6,158,000","580,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
11,75212,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 817, 682",P [Post Office],Non-Unique,GMT,Yes,32.775782,-96.881774,430,48,113,South,West South Central,< 2004 - 2010," 32,257 "," 24,884 "," 6,786 "," 112,500 "," 40,024 ",3.62," 10,209 "," 7,640 "," 16,656 ", 323 , 249 ,48," 7,295 "," 12,349 "," 12,535 ",27.3,26.6,28.0," 8,911 ", 915 ," 13,667 ", 416 ," 132,239,000 "," 507,332,000 "," 11,694 ",0.098,9.971,30|33,356.27|211.94," 5,705 "," 2,603 "," 8,911 ", 915 ," 13,667 "," 3,675 "," 2,095 ", 750 ,300,175,355,"2,325","3,485,000","2,087,000","307,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
12,75214,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.826449,-96.745324,534,48,113,South,West South Central,< 2004 - 2010," 37,198 "," 32,950 "," 15,380 "," 516,200 "," 92,676 ",2.13," 27,521 "," 1,813 "," 7,131 ", 817 , 412 ,36," 3,170 "," 15,956 "," 16,994 ",36.5,36.1,37.0," 17,464 ", 734 ," 19,530 ", 802 ," 68,952,000 "," 291,987,000 "," 7,302 ",0.988,7.307,05|30|32,5043.85|356.27|185.66," 11,129 "," 5,789 "," 17,464 ", 734 ," 19,530 "," 4,420 "," 3,385 ", 320 ,320,230,165,"3,820","7,280,000","5,932,000","515,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
13,75215,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.751138,-96.764729,421,48,113,South,West South Central,< 2004 - 2010," 20,791 "," 14,648 "," 5,907 "," 82,000 "," 31,558 ",2.4," 1,920 "," 11,712 "," 2,037 ", 77 , 169 ,18," 1,028 "," 7,470 "," 7,178 ",39.9,38.9,41.2," 8,663 ", 874 ," 10,044 ", 340 ," 64,489,000 "," 255,440,000 "," 5,565 ",0.131,7.654,30,356.27," 5,076 "," 3,118 "," 8,663 ", 874 ," 10,044 "," 3,115 "," 1,835 ", 805 ,175,35,265,"1,840","2,995,000","1,857,000","175,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
14,75216,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469",P [Post Office],Non-Unique,GMT,Yes,32.710651,-96.777772,489,48,113,South,West South Central,< 2004 - 2010," 53,307 "," 49,416 "," 16,784 "," 78,100 "," 29,448 ",2.92," 7,670 "," 33,305 "," 15,207 ", 145 , 388 ,76," 8,804 "," 23,730 "," 25,686 ",34.4,32.5,36.1," 18,256 ", 967 ," 19,673 ", 319 ," 200,589,000 "," 847,165,000 "," 8,732 ",0.23,14.837,30|33,356.27|211.94," 14,619 "," 2,721 "," 18,256 ", 967 ," 19,673 "," 9,100 "," 5,715 "," 1,900 ",610,170,705,"6,030","9,711,000","6,519,000","642,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
15,75217,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.700936,-96.685995,431,48,113,South,West South Central,< 2004 - 2010," 89,451 "," 80,324 "," 21,625 "," 94,600 "," 41,513 ",3.71," 32,569 "," 22,768 "," 51,571 ", 316 ," 1,126 ",67," 25,878 "," 39,974 "," 40,350 ",27.1,26.2,27.9," 24,111 "," 1,175 "," 26,821 ", 572 ," 61,608,000 "," 247,093,000 "," 6,183 ",1.031,27.758,05|30,5043.85|356.27," 17,340 "," 2,457 "," 24,111 "," 1,175 "," 26,821 "," 9,535 "," 5,775 "," 1,780 ",625,455,900,"6,285","9,993,000","6,605,000","676,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
16,75218,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972",P [Post Office],Non-Unique,GMT,Yes,32.837564,-96.697157,530,48,113,South,West South Central,< 2004 - 2010," 23,012 "," 21,665 "," 10,014 "," 353,700 "," 90,522 ",2.16," 17,707 "," 1,587 "," 4,657 ", 466 , 256 ,39," 2,114 "," 10,476 "," 11,189 ",40.9,39.6,42.4," 10,654 ", 613 ," 16,288 ", 649 ," 64,684,000 "," 257,815,000 "," 6,985 ",0.67,6.899,5,5043.85," 8,304 "," 1,998 "," 10,654 ", 613 ," 16,288 "," 3,870 "," 3,030 ", 300 ,240,185,115,"3,325","6,183,000","5,129,000","383,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
17,75219,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 945",P [Post Office],Non-Unique,GMT,Yes,32.805428,-96.814226,460,48,113,South,West South Central,< 2004 - 2010," 35,272 "," 22,124 "," 12,384 "," 324,600 "," 75,476 ",1.78," 15,851 "," 2,012 "," 7,354 "," 1,396 ", 247 ,30," 3,180 "," 12,433 "," 9,691 ",35.7,37.7,33.3," 19,816 "," 1,328 "," 23,129 "," 1,568 "," 526,400,000 "," 1,983,196,000 "," 24,533 ",0.0,2.289,30|32,356.27|185.66," 1,982 "," 16,804 "," 19,816 "," 1,328 "," 23,129 "," 3,315 "," 2,455 ", 345 ,245,170,100,"2,755","5,819,000","4,641,000","439,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
18,75220,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.862268,-96.870878,446,48,113,South,West South Central,< 2004 - 2010," 45,303 "," 41,891 "," 13,493 "," 296,500 "," 47,003 ",3.1," 24,535 "," 1,588 "," 33,157 ", 395 , 524 ,33," 16,116 "," 22,836 "," 19,055 ",28.6,28.7,28.6," 14,614 "," 1,822 "," 17,258 "," 1,306 "," 290,724,000 "," 1,130,350,000 "," 26,009 ",0.581,11.314,24|32|33,262.6|185.66|211.94," 5,276 "," 8,067 "," 14,614 "," 1,822 "," 17,258 "," 2,965 "," 2,110 ", 350 ,165,205,135,"2,335","4,139,000","3,208,000","249,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
19,75223,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469, 945",P [Post Office],Non-Unique,GMT,Yes,32.793768,-96.747272,498,48,113,South,West South Central,< 2004 - 2010," 16,209 "," 13,947 "," 4,217 "," 133,000 "," 57,243 ",3.3," 7,089 "," 1,816 "," 9,909 ", 161 , 176 ,44," 5,130 "," 7,237 "," 6,710 ",30.7,30.5,30.9," 4,912 ", 451 ," 5,332 ", 187 ," 30,128,000 "," 119,862,000 "," 2,618 ",0.0,3.1,30|32,356.27|185.66," 4,037 ", 768 ," 4,912 ", 451 ," 5,332 "," 1,890 "," 1,260 ", 265 ,110,120,135,"1,360","1,973,000","1,440,000","116,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
20,75224,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972",P [Post Office],Non-Unique,GMT,Yes,32.710741,-96.83994,584,48,113,South,West South Central,< 2004 - 2010," 36,358 "," 34,034 "," 10,130 "," 147,000 "," 43,912 ",3.28," 15,024 "," 9,743 "," 20,477 ", 610 , 319 ,26," 9,253 "," 16,713 "," 17,321 ",28.3,27.6,29.1," 11,085 ", 612 ," 11,783 ", 369 ," 33,806,000 "," 130,714,000 "," 4,340 ",0.011,5.741,30|33,356.27|211.94," 7,278 "," 3,365 "," 11,085 ", 612 ," 11,783 "," 4,470 "," 2,910 ", 785 ,280,165,330,"3,095","4,966,000","3,518,000","296,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
21,75225,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469",P [Post Office],Non-Unique,GMT,Yes,32.863466,-96.791739,611,48,113,South,West South Central,< 2004 - 2010," 24,020 "," 20,892 "," 8,573 "," 1,217,600 "," 163,935 ",2.43," 20,225 ", 141 , 668 , 500 , 100 ,3, 109 ," 9,847 "," 11,045 ",44.4,43.3,45.5," 9,885 "," 1,251 "," 12,328 "," 1,634 "," 452,962,000 "," 1,705,631,000 "," 23,263 ",0.018,4.666,32,185.66," 6,453 "," 3,358 "," 9,885 "," 1,251 "," 12,328 "," 4,785 "," 3,635 ", 80 ,475,485,110,"4,525","9,413,000","7,624,000","935,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
22,75226,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469, 945",P [Post Office],Non-Unique,GMT,Yes,32.783758,-96.776214,462,48,113,South,West South Central,< 2004 - 2010," 6,610 "," 3,506 "," 1,745 "," 81,700 "," 53,405 ",1.79," 1,964 ", 651 ," 1,309 ", 195 , 43 ,4, 786 ," 2,048 "," 1,458 ",31.3,34.0,28.1," 3,693 ", 838 ," 4,559 ", 483 ," 122,075,000 "," 440,653,000 "," 7,914 ",0.0,1.077,30|32,356.27|185.66, 167 ," 3,296 "," 3,693 ", 838 ," 4,559 ", 250 , 160 , 70 ,5,5,10,145,"274,000","184,000","2,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
